system_id,file_name,include_on_leaderboard,issue
570,val_interval_570.csv,True,"{""is_dry"": false, ""ilr"": 1.3, ""string_outages"": true, ""misalignment"": 0}"
42,val_interval_42.csv,True,"{""is_dry"": true, ""ilr"": 1.0, ""string_outages"": true, ""misalignment"": 0.0}"
174,val_interval_174.csv,True,"{""is_dry"": true, ""ilr"": 1.3, ""string_outages"": true, ""misalignment"": 1.0}"
606,val_interval_606.csv,True,"{""is_dry"": false, ""ilr"": 1.0, ""string_outages"": true, ""misalignment"": 0.0}"
148,val_interval_148.csv,True,"{""is_dry"": true, ""ilr"": 1.0, ""string_outages"": true, ""misalignment"": 1.0}"
161,val_interval_161.csv,True,"{""is_dry"": true, ""ilr"": 1.0, ""string_outages"": false, ""misalignment"": 0}"
388,val_interval_388.csv,True,"{""is_dry"": true, ""ilr"": 1.0, ""string_outages"": true, ""misalignment"": 1.0}"
80,val_interval_80.csv,True,"{""is_dry"": true, ""ilr"": 1.0, ""string_outages"": true, ""misalignment"": 0}"
571,val_interval_571.csv,True,"{""is_dry"": false, ""ilr"": 1.3, ""string_outages"": false, ""misalignment"": 0}"
565,val_interval_565.csv,True,"{""is_dry"": false, ""ilr"": 1.0, ""string_outages"": false, ""misalignment"": 1.0}"
361,val_interval_361.csv,True,"{""is_dry"": true, ""ilr"": 1.0, ""string_outages"": false, ""misalignment"": 0}"
96,val_interval_96.csv,True,"{""is_dry"": true, ""ilr"": 1.3, ""string_outages"": true, ""misalignment"": 0.0}"
163,val_interval_163.csv,True,"{""is_dry"": true, ""ilr"": 1.0, ""string_outages"": false, ""misalignment"": 0.0}"
639,val_interval_639.csv,True,"{""is_dry"": false, ""ilr"": 1.3, ""string_outages"": false, ""misalignment"": 1.0}"
83,val_interval_83.csv,True,"{""is_dry"": true, ""ilr"": 1.0, ""string_outages"": false, ""misalignment"": 0.0}"
97,val_interval_97.csv,True,"{""is_dry"": true, ""ilr"": 1.3, ""string_outages"": false, ""misalignment"": 0.0}"
406,val_interval_406.csv,True,"{""is_dry"": true, ""ilr"": 1.0, ""string_outages"": true, ""misalignment"": 0.0}"
572,val_interval_572.csv,True,"{""is_dry"": false, ""ilr"": 1.3, ""string_outages"": true, ""misalignment"": 0.0}"
628,val_interval_628.csv,True,"{""is_dry"": false, ""ilr"": 1.0, ""string_outages"": true, ""misalignment"": 1.0}"
198,val_interval_198.csv,True,"{""is_dry"": true, ""ilr"": 1.3, ""string_outages"": true, ""misalignment"": 1.0}"
173,val_interval_173.csv,True,"{""is_dry"": true, ""ilr"": 1.3, ""string_outages"": false, ""misalignment"": 0.0}"
601,val_interval_601.csv,True,"{""is_dry"": false, ""ilr"": 1.0, ""string_outages"": false, ""misalignment"": 0}"
629,val_interval_629.csv,True,"{""is_dry"": false, ""ilr"": 1.0, ""string_outages"": false, ""misalignment"": 1.0}"
92,val_interval_92.csv,True,"{""is_dry"": true, ""ilr"": 1.3, ""string_outages"": true, ""misalignment"": 0.0}"
365,val_interval_365.csv,True,"{""is_dry"": true, ""ilr"": 1.0, ""string_outages"": false, ""misalignment"": 1.0}"
51,val_interval_51.csv,True,"{""is_dry"": true, ""ilr"": 1.3, ""string_outages"": false, ""misalignment"": 0}"
588,val_interval_588.csv,True,"{""is_dry"": false, ""ilr"": 1.0, ""string_outages"": true, ""misalignment"": 1.0}"
749,val_interval_749.csv,True,"{""is_dry"": false, ""ilr"": 1.0, ""string_outages"": false, ""misalignment"": 1.0}"
561,val_interval_561.csv,True,"{""is_dry"": false, ""ilr"": 1.0, ""string_outages"": false, ""misalignment"": 0}"
53,val_interval_53.csv,True,"{""is_dry"": true, ""ilr"": 1.3, ""string_outages"": false, ""misalignment"": 0.0}"
415,val_interval_415.csv,True,"{""is_dry"": true, ""ilr"": 1.3, ""string_outages"": false, ""misalignment"": 1.0}"
90,val_interval_90.csv,True,"{""is_dry"": true, ""ilr"": 1.3, ""string_outages"": true, ""misalignment"": 0}"
